tipo_balsa,tempo_corte_total,qtd,peca,descricao,espessura_mm,peso_kg,peso_total_kg,bloco,painel,nesting,obs_base
"BOX","0:26:40","52","B2-C","993 x 516","10","25.640","1,333.280","BCB4","RL2","3131",
"BOX","0:03:55","11","B28","424 x 198","10","3.800","41.800","BPP","RFR1","3131",
"BOX","0:12:54","42","B3","288 x 174","10","2.350","98.700","BPP","BPP","3131",
"BOX","0:04:24","8","B2-C","993 x 516","10","25.640","205.120","BCB4","RL2","3132",
"BOX","0:27:50","48","B2-B","993 x 516","10","25.640","1,230.720","BCE4","RL2","3132",
"BOX","0:08:14","25","B3","288 x 174","10","2.350","58.750","BPP","BPP","3132",
"BOX","0:05:29","9","B2-C","993 x 516","10","25.640","230.760","BCB4","RL2","3845",
"BOX","0:13:31","21","B2-B","993 x 516","10","25.640","538.440","BCE4","RL2","3845",
"BOX","0:07:29","16","B27","300 x 454","10","7.110","113.760","BPP","RFR1","3845",
"BOX","0:00:25","1","B28","424 x 198","10","3.800","3.800","BPP","RFR1","3845",
"BOX","0:03:38","2","BPP-RFR1/RFR93-H9","4.867 x 750","10","286.550","573.100","BPP(1)BPP(2)","RFR1/RFR93","3845",
"BOX","0:01:49","5","B3","288 x 174","10","2.350","11.750","BPP","BPP","3845",
"BOX","0:21:39","1","BDF-H3","9.066 x 1.790","12","1,519.180","1,519.180","PCAS DE TETO","PCAS DE TETO","4456",
"BOX","0:04:57","2","RD-BJ9-C","2.829 x 898","12","239.170","478.340","BPP(2)","RD","4456",
"BOX","0:04:54","2","RD-BJ4-BB","2.775 x 894","12","233.730","467.460","BDF4","RD","4458",
"BOX","0:21:39","1","BDF-H3","9.066 x 1.790","12","1,519.180","1,519.180","PCAS DE TETO","PCAS DE TETO","4458",
"BOX","0:02:24","1","RD-BJ4-BB","2.775 x 894","12","233.730","233.730","BDF4","RD","4402",
"BOX","0:02:49","1","RD-BJ3-BE_0","2.775 x 894","12","233.730","233.730","BDF4","RD","4402",
"BOX","0:21:19","1","BDF-H3","9.066 x 1.790","12","1,519.180","1,519.180","PCAS DE TETO","PCAS DE TETO","4402",
"BOX","0:02:27","1","RD-BJ4-BB","2.775 x 894","12","233.730","233.730","BDF4","RD","4403",
"BOX","0:21:38","1","BDF-H3","9.066 x 1.790","12","1,519.180","1,519.180","PCAS DE TETO","PCAS DE TETO","4403",
"BOX","0:02:28","1","RD-BJ9-C","2.829 x 898","12","239.170","239.170","BPP(2)","RD","4403",
"BOX","0:05:33","2","RD-BJ3-BE_0","2.775 x 894","12","233.730","467.460","BDF4","RD","4405",
"BOX","0:20:59","1","BDF-H3","9.066 x 1.790","12","1,519.180","1,519.180","PCAS DE TETO","PCAS DE TETO","4405",
"BOX","0:20:33","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","3317",
"BOX","0:00:54","1","RD-HB18-C","587 x 190","12","9.570","9.570","BCB4","RD","3317",
"BOX","0:09:40","7","RL1-HB10","1.500 x 392","12","55.450","388.150","BCE2","RL1","3317",
"BOX","0:00:59","1","RD-HB50-B","742 x 190","12","12.450","12.450","BPP","RD","3317",
"BOX","0:19:40","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4410",
"BOX","0:00:52","1","RD-HB18-C","587 x 190","12","9.570","9.570","BCB4","RD","4410",
"BOX","0:03:57","3","RL1-HB10","1.500 x 392","12","55.450","166.350","BCE2","RL1","4410",
"BOX","0:06:35","4","RL1-HB24","1.450 x 392","12","53.600","214.400","BCB4","RL1","4410",
"BOX","0:00:56","1","RD-HB49-C","726 x 190","12","12.160","12.160","BPP","RD","4410",
"BOX","0:19:29","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4398",
"BOX","0:06:32","4","RL1-HB24","1.450 x 392","12","53.600","214.400","BCB4","RL1","4398",
"BOX","0:03:53","3","RL1-HB25","1.450 x 392","12","53.600","160.800","BCE4","RL1","4398",
"BOX","0:01:14","1","RFR1/RFR93-HB68-C","1.187 x 357","12","37.730","37.730","BPP","RFR1/RFR93","4398",
"BOX","0:01:43","2","RD-HB15-B","595 x 190","12","10.620","21.240","BCB4","RD","4399",
"BOX","0:19:35","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4399",
"BOX","0:03:19","2","RL1-HB9","1.500 x 392","12","55.450","110.900","BCB2","RL1","4399",
"BOX","0:06:31","5","RL1-HB25","1.450 x 392","12","53.600","268.000","BCE4","RL1","4399",
"BOX","0:01:38","2","RD-HB15-B","595 x 190","12","10.620","21.240","BCB4","RD","4444",
"BOX","0:18:41","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4444",
"BOX","0:11:04","7","RL1-HB9","1.500 x 392","12","55.450","388.150","BCB2","RL1","4444",
"BOX","0:21:01","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4662",
"BOX","0:02:18","1","RD-H5-LADO-B","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","4662",
"BOX","0:04:37","2","RD-H5-LADO-C","2.890 x 590","12","160.620","321.240","PCAS DE TETO","PCAS DE TETO","4662",
"BOX","0:18:43","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4445",
"BOX","0:03:20","4","RD-HB18-C","587 x 190","12","9.570","38.280","BCB4","RD","4445",
"BOX","0:08:48","7","RL1-HB10","1.500 x 392","12","55.450","388.150","BCE2","RL1","4445",
"BOX","0:01:49","3","BPP-RD2-15~16-R2","200 x 102","12","1.930","5.790","BPP","BPP","4445",
"BOX","0:20:28","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4446",
"BOX","0:01:48","2","RD-HB16-C","595 x 190","12","10.620","21.240","BCB4","RD","4446",
"BOX","0:08:15","6","RL1-HB10","1.500 x 392","12","55.450","332.700","BCE2","RL1","4446",
"BOX","0:02:20","1","RFR1/RFR93-HB77-B","1.500 x 392","12","49.450","49.450","BPP","RFR1/RFR93","4446",
"BOX","0:05:25","4","ACCESS-TRAVESSEIRO","1.172 x 600","12","66.220","264.880","ACESS-TRAVESSEIRO","ACESS-TRAVESSEIRO","4447",
"BOX","0:19:49","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4447",
"BOX","0:01:40","1","RL1-HB9","1.500 x 392","12","55.450","55.450","BCB2","RL1","4447",
"BOX","0:01:46","1","BPP-RD2-17~18-R1","2.550 x 102","12","24.500","24.500","BPP","BPP","4447",
"BOX","0:02:32","2","RFR1/RFR93-HB65-B","1.187 x 365","12","38.650","77.300","BPP","RFR1/RFR93","4447",
"BOX","0:21:38","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4448",
"BOX","0:04:57","2","RD-BJ9-C","2.829 x 898","12","239.170","478.340","BPP(1)","RD","4448",
"BOX","0:19:37","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4449",
"BOX","0:00:51","1","RD-HB16-C","595 x 190","12","10.620","10.620","BCB4","RD","4449",
"BOX","0:01:16","2","BPP-RD2-15~16-R2","200 x 102","12","1.930","3.860","BPP","BPP","4449",
"BOX","0:02:14","1","RD-BJ9-C","2.829 x 898","12","239.170","239.170","BPP(1)","RD","4449",
"BOX","0:03:19","2","RFR1/RFR93-HB70-B","1.500 x 392","12","55.450","110.900","BPP","RFR1/RFR93","4449",
"BOX","0:02:34","2","RFR1/RFR93-HB72-B","392 x 1.000","12","36.960","73.920","BPP","RFR1/RFR93","4449",
"BOX","0:01:38","2","RD-HB15-B","595 x 190","12","10.620","21.240","BCB4","RD","4450",
"BOX","0:18:36","1","RD-H3","9.066 x 1.790","12","1,519.180","1,519.180","BDF2","BDF2","4450",
"BOX","0:11:01","7","RL1-HB9","1.500 x 392","12","55.450","388.150","BCB2","RL1","4450",
"BOX","0:00:48","1","RD-HB16-C","595 x 190","12","10.620","10.620","BCB4","RD","4451",
"BOX","0:10:52","7","RL1-HB9","1.500 x 392","12","55.450","388.150","BCB2","RL1","4451",
"BOX","0:18:13","1","RD-H9","9.066 x 1.790","12","1,502.310","1,502.310","PCAS DE TETO","PCAS DE TETO","4451",
"BOX","0:02:01","2","RFR1/RFR93-HB69-A","524 x 75","12","3.700","7.400","BPP","RFR1/RFR93","4451",
"BOX","0:06:35","4","RD-H15","746 x 430","12","29.510","118.040","BCB4","RD","4452",
"BOX","0:18:30","1","RD-H4","9.066 x 1.698","12","1,440.610","1,440.610","BDF1","BDF1","4452",
"BOX","0:01:39","2","RD-HB17-B","587 x 190","12","9.570","19.140","BCB4","RD","4452",
"BOX","0:03:33","3","RL1-HB4-B","1.187 x 354","12","37.490","112.470","BCE4","RL1","4452",
"BOX","0:03:20","2","BPP-RD2-17~18-R1","2.550 x 102","12","24.500","49.000","BPP","BPP","4452",
"BOX","0:01:17","1","RFR1-RFR93-HB71-B-1","1.300 x 392","12","48.050","48.050","BPP","RFR1","4452",
"BOX","0:03:08","2","RFR1/RFR93-HB70-B","1.500 x 392","12","55.450","110.900","BPP","RFR1/RFR93","4452",
"BOX","0:06:38","6","ACCESS-TRAVESSEIRO","1.172 x 600","12","66.220","397.320","ACESS-TRAVESSEIRO","ACESS-TRAVESSEIRO","4453",
"BOX","0:02:52","2","RD-H15","746 x 430","12","29.510","59.020","BCB4","RD","4453",
"BOX","0:01:25","2","RD-HB16-C","595 x 190","12","10.620","21.240","BCB4","RD","4453",
"BOX","0:03:49","2","RD-BJ8-C","3.206 x 899","12","249.110","498.220","BPP","RD","4453",
"BOX","0:00:39","1","RD-HB48-B","474 x 190","12","8.310","8.310","BPP","RD","4453",
"BOX","0:03:52","2","RS-BJ6-BE","3.238 x 895","12","255.380","510.760","BPP","RS","4453",
"BOX","0:01:39","1","BDF5-RD-BJ3S","2.350 x 894","12","197.930","197.930","BDF5","RD","4453",
"BOX","0:01:39","1","BDF5-RD-BJ2S","2.350 x 894","12","197.930","197.930","BDF5","RD","4453",
"BOX","0:00:47","1","RD-H20- LADO D","383 x 590","12","21.260","21.260","PCAS DE TETO","PCAS DE TETO","4453",
"BOX","0:00:47","1","RD-H5-LADO D","383 x 590","12","21.260","21.260","PCAS DE TETO","PCAS DE TETO","4453",
"BOX","0:07:13","6","ACCESS-TRAVESSEIRO","1.172 x 600","12","66.220","397.320","ACESS-TRAVESSEIRO","ACESS-TRAVESSEIRO","4663",
"BOX","0:12:32","6","RD-BJ1-BB","3.000 x 894","12","252.680","1,516.080","BDF2","RD","4663",
"BOX","0:01:33","1","RD-H15","746 x 430","12","29.510","29.510","BCB4","RD","4663",
"BOX","0:01:09","1","RFR1/RFR93-HB72-B","392 x 1.000","12","36.960","36.960","BPP","RFR1/RFR93","4663",
"BOX","0:01:24","1","RD-H15","746 x 430","12","29.510","29.510","BCB4","RD","3970",
"BOX","0:01:01","1","RL1-HB3-C","1.187 x 354","12","37.480","37.480","BCB4","RL1","3970",
"BOX","0:04:05","4","RL1-HB4-B","1.187 x 354","12","37.490","149.960","BCE4","RL1","3970",
"BOX","0:13:15","6","RD-BJ2-BE","3.000 x 894","12","252.680","1,516.080","BDF2","RD","3970",
"BOX","0:01:26","1","BPP-RD2-17~18-R1","2.550 x 102","12","24.500","24.500","BPP","BPP","3970",
"BOX","0:01:01","1","RFR1/RFR93-HB68-C","1.187 x 357","12","37.730","37.730","BPP","RFR1/RFR93","3970",
"BOX","0:00:40","1","RFR1/RFR93-HB69-B","327 x 327","12","7.910","7.910","BPP","RFR1/RFR93","3970",
"BOX","0:01:45","1","BOX-H2~H4- LADO B","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","3970",
"BOX","0:14:15","6","RD-BJ2-BE","3.000 x 894","12","252.680","1,516.080","BDF2","RD","3971",
"BOX","0:02:05","1","BDF5-RD-BJ1S","2.392 x 894","12","201.470","201.470","BDF5","RD","3971",
"BOX","0:02:04","1","BDF5-RD-BJ2P","2.350 x 894","12","197.930","197.930","BDF5","RD","3971",
"BOX","0:00:50","1","RD-H5-LADO D","383 x 590","12","21.260","21.260","PCAS DE TETO","PCAS DE TETO","3971",
"BOX","0:01:05","1","RL1-HB4-B-Extra","1.187 x 354","12","37.490","37.490","PCAS EXTRA","PCAS EXTRA","3971",
"BOX","0:04:19","2","RD-BJ1-BB","3.000 x 894","12","252.680","505.360","BDF2","RD","3972",
"BOX","0:01:11","1","RFR1/RFR93-HB72-B","392 x 1.000","12","36.960","36.960","BPP","RFR1/RFR93","3972",
"BOX","0:04:21","2","RP-BJ7-BB","3.238 x 895","12","255.390","510.780","BPP","RP","3972",
"BOX","0:01:52","1","BDF5-RD-BJ3P","2.350 x 894","12","197.930","197.930","BDF5","RD","3972",
"BOX","0:02:13","1","BDF5-RD-BJ1P","2.392 x 894","12","201.470","201.470","BDF5","RD","3972",
"BOX","0:00:53","1","BOX-H2~H4- LADO D","383 x 590","12","21.260","21.260","PCAS DE TETO","PCAS DE TETO","3972",
"BOX","0:04:00","2","RD-H5-LADO-A","2.890 x 590","12","160.620","321.240","PCAS DE TETO","PCAS DE TETO","3972",
"BOX","0:02:00","1","RD-H5-LADO-B","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","3972",
"BOX","0:07:41","4","RD-BJ1-BB","3.000 x 894","12","252.680","1,010.720","BDF2","RD","3973",
"BOX","0:01:26","2","RD-HB17-B","587 x 190","12","9.570","19.140","BCB4","RD","3973",
"BOX","0:02:04","2","RL1-HB3-C","1.187 x 354","12","37.480","74.960","BCB4","RL1","3973",
"BOX","0:03:49","2","RD-BJ10-C","3.196 x 899","12","248.930","497.860","BPP","RD","3973",
"BOX","0:01:03","2","BPP-RD2-15~16-R2","200 x 102","12","1.930","3.860","BPP","BPP","3973",
"BOX","0:01:07","1","RFR1-RFR93-HB71-B-1","1.300 x 392","12","48.050","48.050","BPP","RFR1","3973",
"BOX","0:03:34","4","RFR1/RFR93-HB69-A","524 x 75","12","3.700","14.800","BPP","RFR1/RFR93","3973",
"BOX","0:00:41","1","RFR1/RFR93-HB69-B","327 x 327","12","7.910","7.910","BPP","RFR1/RFR93","3973",
"BOX","0:01:28","1","RFR1/RFR93-HB78-B","1.200 x 392","12","41.540","41.540","BPP","RFR1/RFR93","3973",
"BOX","0:04:10","4","RL1-HB26","1.267 x 393","12","46.860","187.440","BCE5","RL1","3973",
"BOX","0:40:59","23","HASTILHA S/ CHANFRO 1875","1.875 x 508","8","59.250","1,362.750","BDF1(12)/BDF2(11)","HASTILHA","4243",
"BOX","0:40:59","23","HASTILHA S/ CHANFRO 1875","1.875 x 508","8","59.250","1,362.750","BDF2(9)/BDF3(14)","HASTILHA","4242",
"BOX","0:40:59","23","HASTILHA S/ CHANFRO 1875","1.875 x 508","8","59.250","1,362.750","BDF3(6)/BDF4(16)/BDF5(1)","HASTILHA","4241",
"BOX","0:28:00","15","HASTILHA C/ CHANFRO 1875","1.875 x 508","8","59.250","888.750","BDF1(15)","HASTILHA","3669",
"BOX","0:13:27","8","HASTILHA S/ CHANFRO 1875","1.875 x 508","8","59.250","474.000","BDF5(8)","HASTILHA","3669",
"BOX","0:41:38","23","HASTILHA C/ CHANFRO 1875","1.875 x 508","8","59.250","1,362.750","BDF1(3)/BDF2(20)","HASTILHA","3670",
"BOX","0:41:38","23","HASTILHA C/ CHANFRO 1875","1.875 x 508","8","59.250","1,362.750","BDF3(20)/BDF4(3)","HASTILHA","3671",
"BOX","0:39:10","22","HASTILHA C/ CHANFRO 1875","1.875 x 508","8","59.250","1,303.500","BDF4(13)/BDF5(9)","HASTILHA","4240",
"BOX","0:01:46","1","HASTILHA TESTE 1875","1.875 x 508","8","59.870","59.870","BDF1(1)","HASTILHA","4240",
"BOX","0:42:37","23","HASTILHA TESTE 1875","1.875 x 508","8","59.870","1,377.010","BDF1(23)","HASTILHA","3686",
"BOX","0:42:37","23","HASTILHA TESTE 1875","1.875 x 508","8","59.870","1,377.010","BDF1(23)","HASTILHA","3687",
"BOX","0:42:37","23","HASTILHA TESTE 1875","1.875 x 508","8","59.870","1,377.010","BDF1(23)","HASTILHA","3688",
"BOX","0:02:19","1","BPP-QD1S-H1","925 x 732","16","59.150","59.150","BPP","RD1","4188",
"BOX","0:02:19","1","BPP-QD1P-H1","925 x 732","16","59.150","59.150","BPP","RD1","4188",
"BOX","0:01:33","1","BPP-RD2-BVP-R3","997 x 1.465","16","163.430","163.430","BPP","BPP","4188",
"BOX","0:01:38","1","BPP-RD2-BVS-R6..","997 x 1.465","16","163.430","163.430","BPP","BPP","4188",
"BOX","0:02:41","1","BPP-RD2-H1-R8","3.554 x 945","16","337.430","337.430","BPP(1)","BPP","4188",
"BOX","0:02:13","1","BPP-RD2-H3-R4","3.409 x 687","16","293.990","293.990","BPP(1)","BPP","4188",
"BOX","0:01:40","1","BPP-RD2-H3B","938 x 687","16","48.890","48.890","BPP","BPP","4188",
"BOX","0:02:13","1","BPP-RD2-H5-R5","3.409 x 687","16","293.980","293.980","BPP(1)","BPP","4188",
"BOX","0:02:46","1","BPP-RD2-H7-R5","3.554 x 945","16","337.430","337.430","BPP(1)","BPP","4188",
"BOX","0:03:37","3","RD-HB48A-C","1.000 x 349","16","43.530","130.590","BPP","RD","4188",
"BOX","0:04:51","3","RD-HB48B-C","1.000 x 349","16","43.800","131.400","BPP","RD","4188",
"BOX","0:03:37","3","RD-HB49A-B","1.000 x 349","16","43.530","130.590","BPP","RD","4188",
"BOX","0:01:20","1","RD-HB74-B_R1.IGS","1.013 x 344","16","43.700","43.700","BPP","RD","4188",
"BOX","0:01:37","1","RD-HB76-C.IGS","1.013 x 344","16","43.700","43.700","BPP","RD","4188",
"BOX","0:00:54","1","BDF5-RD-H9B,_H9D","572 x 342","16","12.080","12.080","BDF5","RD","4188",
"BOX","0:02:44","3","B21","572 x 342","16","12.080","36.240","BDF4","BDF4","4188",
"BOX","0:01:16","1","RD-HB49C-B","900 x 349","16","39.360","39.360","BPP","RD","4188",
"BOX","0:05:07","4","RD-HB48C-C","900 x 349","16","39.360","157.440","BPP","RD","4188",
"BOX","0:00:59","1","BPP-QD1-H1-R1","590 x 442","16","32.630","32.630","BPP","RD1","4189",
"BOX","0:02:14","1","BPP-QD1S-H1","925 x 732","16","59.150","59.150","BPP","RD1","4189",
"BOX","0:02:14","1","BPP-QD1P-H1","925 x 732","16","59.150","59.150","BPP","RD1","4189",
"BOX","0:01:04","1","BPP-QD1S-H5","734 x 234","16","21.570","21.570","BPP","RD1","4189",
"BOX","0:01:19","1","BPP-RD2-H5B","938 x 687","16","49.880","49.880","BPP","BPP","4189",
"BOX","0:01:16","1","BPP-RFR1/RFR93-H7~H8-R1","1.015 x 566","16","71.620","71.620","BPP(1)BPP(2)","RFR1/RFR93","4189",
"BOX","0:02:19","2","RD-HB48A-C","1.000 x 349","16","43.530","87.060","BPP","RD","4189",
"BOX","0:03:06","2","RD-HB48B-C","1.000 x 349","16","43.800","87.600","BPP","RD","4189",
"BOX","0:03:52","3","RD-HB74-B_R1.IGS","1.013 x 344","16","43.700","131.100","BPP","RD","4189",
"BOX","0:03:30","2","RD-HB23B-B","1.050 x 607","16","80.070","160.140","BDF4","RD","4189",
"BOX","0:02:12","1","RL1-H36","2.500 x 850","16","266.630","266.630","BCB4","RL1","4189",
"BOX","0:02:12","1","RL1-H42","2.500 x 850","16","266.630","266.630","BCE4","RL1","4189",
"BOX","0:01:45","1","BDF5-RD-HT12F-R1","1.050 x 607","16","80.070","80.070","BDF5","RD","4189",
"BOX","0:01:45","1","BDF5-RD-HT12B-R1","1.050 x 607","16","80.070","80.070","BDF5","RD","4189",
"BOX","0:01:53","2","BDF5-RD-H10B,_H10D~H11B,_H11D","590 x 350","16","25.440","50.880","BDF5","RD","4189",
"BOX","0:01:58","2","BDF5-RD-H11A,_H11E","580 x 445","16","31.800","63.600","BDF5","RD","4189",
"BOX","0:01:59","2","BDF5-RD-H10A,_H10E","590 x 445","16","32.450","64.900","BDF5","RD","4189",
"BOX","0:00:52","1","BDF5-RD-H9A,_H9C,_H9E-R2","572 x 342","16","12.080","12.080","BDF5","RD","4189",
"BOX","0:00:59","1","BDF5-QD-H2-R1","590 x 440","16","32.110","32.110","BDF5","RD","4189",
"BOX","0:00:59","1","BDF4-QD-H2-R1","590 x 440","16","32.110","32.110","BDF4","RD","4189",
"BOX","0:02:12","1","BCB5-RL1-H48","2.500 x 853","16","267.350","267.350","BCB5","RL1","4189",
"BOX","0:02:32","1","BCE5-RL1-H54","2.500 x 853","16","267.350","267.350","BCE5","RL1","4189",
"BOX","0:00:52","1","B21","572 x 342","16","12.080","12.080","BDF4","BDF4","4189",
"BOX","0:04:55","4","RD-HB49C-B","900 x 349","16","39.360","157.440","BPP","RD","4189",
"BOX","0:01:13","1","RD-HB48C-C","900 x 349","16","39.360","39.360","BPP","RD","4189",
"BOX","0:00:55","1","BPP-QD1P-H2","580 x 450","16","32.660","32.660","BPP","RD1","3761",
"BOX","0:01:50","2","BPP-QD1P-H4","580 x 450","16","32.660","65.320","BPP","RD1","3761",
"BOX","0:00:55","1","BPP-QD1S-H2","580 x 450","16","32.660","32.660","BPP","RD1","3761",
"BOX","0:01:25","1","BPR-RFR94-BVP1B","1.208 x 1.318","16","193.890","193.890","BPP","RFR94","3761",
"BOX","0:06:57","5","DEFENÇA-W-S_150_X_1830","1.830 x 150","16","34.480","172.400","ACESS_DEFENCA","ACESS_DEFENCA","3761",
"BOX","0:02:08","2","RD-HB49A-B","1.000 x 349","16","43.530","87.060","BPP","RD","3761",
"BOX","0:01:22","1","RD-TZ13-BB","527 x 1.219","16","80.660","80.660","BPP","RD","3761",
"BOX","0:01:22","1","RD-TZ15-BE","527 x 1.218","16","80.620","80.620","BPP","RD","3761",
"BOX","0:02:15","2","RD-TZ16-BE","527 x 1.587","16","105.040","210.080","BPP","RD","3761",
"BOX","0:01:59","1","RD-TZ17-C","1.551 x 2.557","16","497.990","497.990","BPP","RD","3761",
"BOX","0:01:56","1","RD-TZ18-C","1.551 x 2.882","16","561.310","561.310","BPP","RD","3761",
"BOX","0:00:52","1","RFR1/RFR93-HB59-B","625 x 327","16","24.400","24.400","BPP","RFR1/RFR93","3761",
"BOX","0:00:48","1","BDF5-RD-H9B,_H9D","572 x 342","16","12.080","12.080","BDF5","RD","3761",
"BOX","0:01:45","2","BDF5-RD-H10B,_H10D~H11B,_H11D","590 x 350","16","25.440","50.880","BDF5","RD","3761",
"BOX","0:00:55","1","BDF5-QD-H2-R1","590 x 440","16","32.110","32.110","BDF5","RD","3761",
"BOX","0:01:49","2","BDF4-H10","584 x 432","16","31.190","62.380","BDF4","BDF4","3761",
"BOX","0:03:30","4","BDF4-H16","592 x 350","16","25.530","102.120","BDF4","BDF4","3761",
"BOX","0:01:49","2","BDF4-H11","592 x 432","16","31.630","63.260","BDF4","BDF4","3761",
"BOX","0:00:55","1","BDF4-QD-H2-R1","590 x 440","16","32.110","32.110","BDF4","RD","3761",
"BOX","0:02:23","2","RD-HB49B-B","1.000 x 349","16","43.800","87.600","BPP","RD","3761",
"BOX","0:01:03","1","BPP-QD1P-H5","734 x 234","16","21.570","21.570","BPP","RD1","3762",
"BOX","0:01:10","1","BPP-QD1S-H5","734 x 234","16","21.570","21.570","BPP","RD1","3762",
"BOX","0:02:44","1","BPP-RD2-H2-R3","4.351 x 1.860","16","1,016.370","1,016.370","BPP(1)","BPP","3762",
"BOX","0:03:23","1","BPP-RD2-H6-R3","4.351 x 1.860","16","1,016.370","1,016.370","BPP(1)","BPP","3762",
"BOX","0:01:38","1","DEFENÇA-W-S_150_X_1830","1.830 x 150","16","34.480","34.480","ACESS_DEFENCA","ACESS_DEFENCA","3762",
"BOX","0:01:24","1","RD-HB74-B_R1.IGS","1.013 x 344","16","43.700","43.700","BPP","RD","3762",
"BOX","0:02:21","1","RD-TZ17-C","1.551 x 2.557","16","497.990","497.990","BPP","RD","3762",
"BOX","0:02:03","2","RFR1/RFR93-HB57-C","625 x 327","16","24.400","48.800","BPP","RFR1/RFR93","3762",
"BOX","0:01:43","3","BPP-RD2-15~16-R2","200 x 102","12","1.930","5.790","BPP","BPP","3754",
"BOX","0:00:50","1","RD-HB50-B","742 x 190","12","12.450","12.450","BPP","RD","3754",
"BOX","0:00:50","1","RD-HB49-C","726 x 190","12","12.160","12.160","BPP","RD","3754",
"BOX","0:02:16","2","RL1-HB26","1.267 x 393","12","46.860","93.720","BCE5","RL1","3754",
"BOX","0:08:34","6","RL1-HB27","1.267 x 393","12","46.860","281.160","BCB5","RL1","3754",
"BOX","0:17:43","1","BDF5-RD-H11~H12-R3","9.066 x 1.790","12","1,519.180","1,519.180","BDF5","RD","3754",
"BOX","0:19:27","16","BPP-RD2-11A~11D,_14A~14D)","1.200 x 203","19","36.160","578.560","BPP","BPP","3763",
"BOX","0:44:33","24","BPP-RD2-15A~15F,_16A~16F)","361 x 203","19","10.780","258.720","BPP","BPP","3763",
"BOX","0:57:32","31","BPP-RD2-15A~15F,_16A~16F) - Extra","361 x 203","19","10.780","334.180","PCAS EXTRA","PCAS EXTRA","3763",
"BOX","0:58:23","48","BPP-RD2-11A~11D,_14A~14D) - Extra","1.200 x 203","19","36.160","1,735.680","PCAS EXTRA","PCAS EXTRA","3763",
"BOX","0:05:29","5","ACCESS-TRAVESSEIRO","1.172 x 600","12","66.220","331.100","ACESS-TRAVESSEIRO","ACESS-TRAVESSEIRO","3756",
"BOX","0:11:18","11","RL1-HB3-C","1.187 x 354","12","37.480","412.280","BCB4","RL1","3756",
"BOX","0:00:39","1","RD-HB47-C","474 x 190","12","8.310","8.310","BPP","RD","3756",
"BOX","0:00:39","1","RD-HB48-B","474 x 190","12","8.310","8.310","BPP","RD","3756",
"BOX","0:01:46","2","RFR1/RFR93-HB69-A","524 x 75","12","3.700","7.400","BPP","RFR1/RFR93","3756",
"BOX","0:10:07","1","BDF5-RD-H14","9.066 x 1.188","12","1,009.710","1,009.710","BDF5","RD","3756",
"BOX","0:01:46","1","BOX-H2~H4- LADO A","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","3756",
"BOX","0:12:55","11","RL1-HB3-C","1.187 x 354","12","37.480","412.280","BCB4","RL1","3755",
"BOX","0:01:33","2","RFR1/RFR93-HB69-B","327 x 327","12","7.910","15.820","BPP","RFR1/RFR93","3755",
"BOX","0:18:20","1","BDF5-RD-H11~H12-R3","9.066 x 1.790","12","1,519.180","1,519.180","BDF5","RD","3755",
"BOX","0:21:32","1","BDF5-RD-H13-R4","9.066 x 1.797","12","1,507.600","1,507.600","BDF5","RD","3757",
"BOX","0:02:18","1","RD-H20-LADO A","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","3757",
"BOX","0:02:18","1","RD-H20-LADO B","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","3757",
"BOX","0:02:18","1","RD-H20-LADO C","2.890 x 590","12","160.620","160.620","PCAS DE TETO","PCAS DE TETO","3757",
"BOX","0:04:46","2","RD-TZ2-BE","422 x 3.000","8","79.450","158.900","BCE2","RD","4283",
"BOX","0:01:49","1","RD-HB24A-B","2.000 x 508","8","63.240","63.240","BDF4","HASTILHA","4283",
"BOX","0:01:49","1","RD-HB24D-B","2.000 x 508","8","63.240","63.240","BDF4","HASTILHA","4283",
"BOX","0:01:52","2","B33-B","721 x 410","8","12.440","24.880","BPP","RD1","4283",
"BOX","0:01:17","1","RD-HB51-C","1.095 x 347","8","22.510","22.510","BPP","RD","4283",
"BOX","0:02:34","2","RD-HB52-B","1.095 x 347","8","22.510","45.020","BPP","RD","4283",
